run_id,status,high_pain_oversample_factor,high_pain_loss_weight,elapsed_sec,output_dir,log_file,n_targets,mean_auc,mean_accuracy,mean_precision,mean_recall,mean_specificity,mean_fpr,mean_f1,mean_log_loss,mean_brier,n_pain_targets,pain_mean_auc,pain_mean_accuracy,pain_mean_precision,pain_mean_recall,pain_mean_specificity,pain_mean_fpr,pain_mean_f1,pain_mean_log_loss,pain_mean_brier
1,ok,2.5,2.0,11.428556442260742,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_2.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_2.0/train.log,5,0.7600216261285475,0.8671641791044775,0.28964038578447915,0.39075630252100846,0.8062028320530613,0.19379716794693863,0.3075214315479976,0.48205354656484845,0.1639451998572516,2,0.7047787914786723,0.7817164179104479,0.19226457399103136,0.40126050420168063,0.7924102381798792,0.20758976182012084,0.22487366647950585,0.7577629711616161,0.2745708091789607
2,ok,2.5,2.5,11.69473385810852,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_2.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_2.5/train.log,5,0.7632472329964873,0.917910447761194,0.31613591673228425,0.29411764705882354,0.8712113243704765,0.12878867562952348,0.29357196495619525,0.523060031783939,0.1787521578617469,2,0.7128428086485217,0.9085820895522387,0.2585034013605442,0.15966386554621845,0.9549314689734172,0.0450685310265829,0.19,0.8602791842093425,0.31158820419019895
3,ok,2.5,3.0,11.556460618972778,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_3.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_3.0/train.log,5,0.7626725236720655,0.9238805970149253,0.3276770849236988,0.28627450980392155,0.8786340047828476,0.12136599521715233,0.2925719649561952,0.5558738433297447,0.19056455312783202,2,0.7114060353374672,0.9235074626865671,0.28735632183908044,0.14005602240896353,0.973488170004345,0.02651182999565505,0.1875,0.9423137130738566,0.34111919235541177
4,ok,2.5,3.5,12.15662145614624,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_3.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_3.5/train.log,5,0.7618863412052407,0.912686567164179,0.2859787033452572,0.3266106442577031,0.8646394556656535,0.1353605443343463,0.29965015965574915,0.5808270377275215,0.1995798326058697,2,0.709440579170405,0.8955223880597014,0.18311036789297655,0.24089635854341734,0.9385017972113598,0.06149820278864,0.2051954867488848,1.0046966990682988,0.363657391050506
5,ok,2.5,4.0,12.899624109268188,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_4.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_4.0/train.log,5,0.7606262120795295,0.9138059701492537,0.2821223112901074,0.3123249299719888,0.8662597108301675,0.13374028916983233,0.29185767924190953,0.6087897409836752,0.2082786024693902,2,0.706290256356127,0.898320895522388,0.173469387755102,0.2051820728291316,0.9425524351226449,0.0574475648773551,0.18571428571428572,1.0746034572086829,0.3854043157093072
6,ok,2.5,4.5,12.841477632522583,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_4.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_4.5/train.log,5,0.7601709229606824,0.9134328358208954,0.28130598475949514,0.3123249299719888,0.8658473396961469,0.13415266030385298,0.29146163963794913,0.6328472396075622,0.21586762223743688,2,0.7051520335590096,0.8973880597014925,0.1714285714285714,0.2051820728291316,0.9415215072875933,0.05847849271240665,0.1847241867043847,1.1347472037684003,0.40437686512942395
7,ok,2.5,5.0,13.34648585319519,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_5.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_5.0/train.log,5,0.7597728545023477,0.8611940298507463,0.264163127616638,0.41232492997198883,0.8095255006156872,0.19047449938431277,0.278339946516256,0.6551359384724369,0.22282611261825563,2,0.7041568624131724,0.7667910447761194,0.12857142857142856,0.45518207282913165,0.8007169095864439,0.1992830904135561,0.1519199539001519,1.1904689509305872,0.4217730910814708
8,ok,2.5,5.5,12.932096719741821,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_5.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_5.5/train.log,5,0.7592423045646335,0.8604477611940299,0.26262466607817647,0.41232492997198883,0.808700758347646,0.19129924165235399,0.27757093757652707,0.6756234817491884,0.22881808977891835,2,0.702830487568887,0.7649253731343284,0.1247252747252747,0.45518207282913165,0.7986550539163407,0.20134494608365922,0.1499974315508296,1.241687809122466,0.4367530339831277
9,ok,2.5,6.0,13.100394487380981,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_6.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_6.0/train.log,5,0.7587876361467271,0.9130597014925372,0.28052167103400494,0.3123249299719888,0.8654349685621263,0.1345650314378736,0.2910733655164193,0.6947086142434251,0.23422352957527845,2,0.7016938165241211,0.896455223880597,0.1694677871148459,0.2051820728291316,0.9404905794525418,0.0595094205474582,0.18375350140056018,1.2894006403580578,0.45026663347402796
10,ok,2.5,6.5,12.985366821289062,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_6.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_6.5/train.log,5,0.7586408486724057,0.8552238805970148,0.2634085757959097,0.42661064425770306,0.8029828612824328,0.19701713871756704,0.2781468745316759,0.7125744033760915,0.23913534307875434,2,0.7013268478383177,0.7518656716417911,0.1266850490196078,0.49089635854341734,0.784360311253308,0.2156396887466919,0.15143727393870166,1.3340651131897237,0.46254616723271763
11,ok,2.5,7.0,13.446162223815918,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_7.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_7.0/train.log,5,0.7583696654272153,0.8533582089552239,0.25990717523568563,0.42661064425770306,0.8009210056123297,0.19907899438767013,0.27631436582725954,0.7293683743331358,0.24362682412736572,2,0.7006488897253416,0.7472014925373134,0.11793154761904755,0.49089635854341734,0.7792056720780502,0.2207943279219496,0.14685600217766076,1.3760500405823346,0.4737748698542461
12,ok,2.5,7.5,12.871777534484863,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_7.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_7.5/train.log,5,0.7582676613597985,0.851865671641791,0.26019909368912836,0.43053221288515414,0.7988883793137951,0.20111162068620478,0.2781137178892525,0.745214364175667,0.24775741777528276,2,0.7003938795567997,0.7434701492537313,0.11866134375265434,0.5007002801120448,0.7741241063317139,0.22587589366828612,0.15135438233264314,1.4156650151886625,0.4841013539740387
13,ok,2.5,8.0,12.970759153366089,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_8.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_8.0/train.log,5,0.7580530780741794,0.8514925373134329,0.25872386100090083,0.42016806722689076,0.7983298613219321,0.20167013867806793,0.27780859692241455,0.7602200287516877,0.2515762806743792,2,0.699857421342752,0.7425373134328358,0.11497326203208555,0.47478991596638653,0.7727278113520559,0.22727218864794407,0.1505915799155483,1.453179176628714,0.4936485112217798
14,ok,2.5,8.5,13.024897813796997,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_8.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_8.5/train.log,5,0.7578758131878955,0.8414179104477612,0.2565728899346572,0.44369747899159667,0.7846631551561145,0.2153368448438854,0.28267246746875807,0.7744781321967517,0.25512394320726856,2,0.6994142591270422,0.7173507462686567,0.10959583436647655,0.5336134453781513,0.7385610459375123,0.2614389540624876,0.16275125628140702,1.488824435241374,0.5025176675540031
