__meta_source_row_id,duplicate_count
10,10
20,10
22,14
24,10
25,10
28,10
31,10
34,10
39,10
47,10
48,12
58,10
65,10
66,10
69,2
74,10
76,4
77,4
78,2
79,10
82,10
85,10
91,10
99,10
101,10
102,10
118,12
119,4
123,10
128,10
130,10
133,10
137,10
139,10
142,10
145,10
148,10
151,10
156,10
162,10
164,10
172,10
181,10
182,10
205,10
206,10
240,12
241,10
242,10
243,10
244,10
248,10
258,10
260,10
266,10
276,12
278,10
279,2
285,10
287,10
288,10
290,10
292,10
297,10
301,10
302,10
307,10
310,10
316,2
323,10
328,2
348,10
356,10
371,10
375,10
378,10
379,10
381,10
382,10
386,10
388,12
391,10
392,10
394,10
395,10
396,10
398,10
399,10
400,10
403,10
409,12
412,10
413,10
416,10
418,10
419,10
427,10
438,10
440,10
441,10
442,10
444,10
447,10
449,10
453,10
458,10
465,10
466,2
470,10
474,10
476,10
477,10
490,10
496,10
499,10
500,10
502,12
503,10
510,10
515,2
516,10
517,10
525,10
538,10
542,10
545,10
546,10
547,12
555,12
556,10
573,10
592,10
597,10
598,10
601,10
607,10
609,10
610,10
613,10
615,10
616,10
618,10
623,10
624,10
656,10
659,10
664,10
666,10
671,14
681,10
684,10
685,10
692,10
694,10
695,10
696,10
697,10
699,10
702,10
706,10
708,10
738,10
747,10
750,12
758,10
779,10
791,10
792,10
795,10
796,10
798,10
800,12
801,10
804,12
808,10
810,10
811,10
819,10
820,10
826,10
844,10
847,10
848,10
849,10
850,10
851,10
855,10
860,10
863,10
868,10
872,10
878,10
883,10
884,10
908,10
913,10
920,10
921,10
925,10
927,10
930,10
934,10
947,10
951,10
954,10
958,10
959,10
966,10
970,10
971,10
972,2
973,10
974,10
975,10
977,10
985,10
988,10
991,10
994,2
1002,10
1008,10
1012,10
1018,10
1022,10
1026,10
1030,10
1038,10
1039,12
1041,10
1042,10
1043,10
1047,10
1049,10
1051,10
1052,10
1059,10
1060,10
1062,10
1063,10
1071,10
1074,10
1076,10
1079,10
1095,10
1101,10
1102,10
1106,10
1110,10
1111,10
1115,10
1116,10
1119,10
1139,2
1140,12
1148,10
1149,10
1153,10
1166,10
1193,4
1195,12
1212,10
1213,10
1230,10
1233,10
1243,10
1245,10
1248,10
1258,10
1271,10
1276,10
1311,10
1312,10
1314,10
1316,10
1318,10
1319,10
1320,10
1323,10
1324,10
1327,10
1328,10
1331,10
1332,10
1352,10
1356,10
1358,10
1360,10
1361,10
1365,10
1369,10
1371,10
1378,12
1384,10
1387,10
1395,10
1411,12
1414,12
1416,10
1420,10
1423,10
1425,10
1428,10
1429,10
1430,10
1434,10
1436,10
1441,10
1453,10
1454,10
1458,10
1460,10
1464,10
1465,10
1466,10
1478,10
1480,10
1481,10
1483,10
1497,10
1498,10
1499,10
1504,10
1511,10
1519,10
1528,10
1541,10
1542,10
1550,10
1559,10
1563,10
1566,10
1569,10
1570,10
1571,10
1575,10
1577,10
1579,10
1603,10
1604,10
1609,10
1613,10
1616,10
1622,10
1631,10
1653,10
1655,10
1660,10
1662,10
1665,10
1670,10
1673,10
1676,10
1677,10
1680,10
1681,10
1682,10
1683,10
1686,10
1687,10
1702,10
1704,10
1705,12
1706,10
1707,10
1712,10
1713,10
1714,10
1721,10
1722,10
1724,10
1729,10
1730,10
1732,10
1733,10
1739,10
1741,10
1743,10
1756,10
1757,10
1758,10
1763,10
1771,10
1775,10
1778,10
1780,10
1791,10
1797,10
1800,2
1803,10
1805,10
1816,10
1822,10
1827,10
1828,10
1831,10
1835,10
1837,10
1838,10
1841,10
1846,10
1848,10
1849,10
1850,14
1856,10
1859,10
1860,10
1866,10
1867,10
1872,10
1878,10
1881,10
1885,10
1886,10
1890,10
1893,10
1894,10
1901,10
1903,12
1904,10
1916,10
1917,10
1920,10
1921,10
1923,10
1927,10
1929,10
1935,10
1937,10
1938,10
1942,10
1950,10
1973,10
1998,10
2008,10
2013,10
2015,10
2025,10
2029,10
2041,10
2042,10
2046,10
2047,10
2055,10
2060,10
2061,10
2062,10
2066,10
2072,10
2076,10
2080,10
2082,10
2085,10
2091,10
2093,10
2094,10
2101,10
2104,10
2105,10
2108,10
2110,10
2112,10
2120,10
2129,10
2156,10
2161,10
2167,10
2177,10
2179,10
2182,10
2188,10
2193,10
2213,10
2232,10
2233,10
2259,10
2278,10
2280,10
2281,10
2282,10
2290,10
2299,10
2300,10
2304,10
2306,10
2307,10
2308,10
2312,10
2331,10
2339,10
2342,12
2344,10
2347,10
2355,10
2363,10
2368,2
2372,10
2375,10
2378,10
2380,10
2383,2
2385,10
2386,10
2389,10
2391,10
2402,10
2404,10
2405,10
2406,10
2409,10
2412,10
2413,12
2417,10
2419,10
2423,10
2429,10
2452,10
2458,10
2461,10
2463,10
2470,10
2477,2
2478,10
2483,10
2484,10
2490,10
2492,10
2507,10
2515,10
2516,10
2518,10
2521,10
2525,10
2532,10
2533,10
2535,10
2537,10
2543,10
2545,10
2554,10
2556,10
2557,10
2560,10
2568,10
2569,10
2573,10
2574,10
2577,10
2578,10
2588,10
2590,10
2596,10
2597,10
2599,10
2608,10
2609,10
2611,10
2612,10
2613,10
2614,10
2621,10
2622,10
2626,10
2629,10
2632,10
2633,10
2639,10
2641,12
2647,10
2649,10
2662,10
2678,10
2681,10
2682,10
2687,10
