Score,count,ratio
0,4293,0.4073441502988898
1,3502,0.33228959104279343
2,1972,0.18711452699497105
3,496,0.04706328873707183
4,215,0.020400417496916217
5,48,0.004554511813265016
6,6,0.000569313976658127
6.5,1,9.48856627763545e-05
6.9,1,9.48856627763545e-05
7,1,9.48856627763545e-05
8,2,0.000189771325552709
10,2,0.000189771325552709
