day_cn,day_en,column_name,non_missing_count,missing_count,missing_ratio,mean,median
手术当天,Surgery Day,手术当天_静息痛,2674,15,0.005578281889178133,1.3199326851159312,1.0
术后第一天,POD1,术后第一天_静息痛,2679,10,0.003718854592785422,1.0963045912653975,1.0
术后第二天,POD2,术后第二天_静息痛,2666,23,0.008553365563406471,0.794073518379595,1.0
术后第三天,POD3,术后第三天_静息痛,2520,169,0.06284864261807363,0.6122619047619048,0.0
