value,count,ratio
61,87,0.03235403495723317
60,82,0.030494607660840462
70,71,0.026403867608776495
69,70,0.026031982149497954
56,68,0.02528821123094087
57,68,0.02528821123094087
68,65,0.024172554853105245
59,65,0.024172554853105245
55,62,0.023056898475269618
54,61,0.022685013015991073
35,60,0.022313127556712532
71,60,0.022313127556712532
62,59,0.02194124209743399
31,58,0.021569356638155446
67,57,0.021197471178876905
58,56,0.020825585719598364
66,56,0.020825585719598364
29,53,0.019709929341762737
33,52,0.019338043882484196
36,50,0.01859427296392711
32,50,0.01859427296392711
53,48,0.017850502045370024
51,46,0.017106731126812942
34,46,0.017106731126812942
28,46,0.017106731126812942
72,46,0.017106731126812942
75,44,0.016362960208255856
73,43,0.015991074748977315
52,42,0.015619189289698772
30,39,0.014503532911863145
41,38,0.014131647452584604
76,36,0.01338787653402752
63,35,0.013015991074748977
39,34,0.012644105615470434
27,33,0.012272220156191893
64,32,0.01190033469691335
74,31,0.011528449237634809
78,31,0.011528449237634809
40,31,0.011528449237634809
65,31,0.011528449237634809
37,31,0.011528449237634809
24,30,0.011156563778356266
26,30,0.011156563778356266
44,29,0.010784678319077723
50,28,0.010412792859799182
45,28,0.010412792859799182
49,27,0.01004090740052064
25,27,0.01004090740052064
79,27,0.01004090740052064
48,27,0.01004090740052064
47,26,0.009669021941242098
46,25,0.009297136481963555
38,22,0.008181480104127928
77,21,0.007809594644849386
81,19,0.007065823726292302
43,18,0.00669393826701376
80,18,0.00669393826701376
23,18,0.00669393826701376
82,18,0.00669393826701376
83,17,0.006322052807735217
42,17,0.006322052807735217
87,15,0.005578281889178133
84,15,0.005578281889178133
20,14,0.005206396429899591
22,11,0.004090740052063964
21,11,0.004090740052063964
90,9,0.00334696913350688
18,9,0.00334696913350688
85,7,0.0026031982149497955
86,7,0.0026031982149497955
19,7,0.0026031982149497955
16,6,0.002231312755671253
88,5,0.001859427296392711
89,4,0.0014875418371141688
17,3,0.0011156563778356265
94,3,0.0011156563778356265
91,3,0.0011156563778356265
15,2,0.0007437709185570844
11,2,0.0007437709185570844
95,2,0.0007437709185570844
96,2,0.0007437709185570844
93,1,0.0003718854592785422
13,1,0.0003718854592785422
10,1,0.0003718854592785422
99,1,0.0003718854592785422
12,1,0.0003718854592785422
92,1,0.0003718854592785422
97,1,0.0003718854592785422
