day_cn,day_en,column_name,non_missing_count,missing_count,missing_ratio,mean,median
手术当天,Surgery Day,手术当天_活动状态,2671,18,0.00669393826701376,3.0288281542493447,3.0
术后第一天,POD1,术后第一天_活动状态,2678,11,0.004090740052063964,2.863330843913368,3.0
术后第二天,POD2,术后第二天_活动状态,2667,22,0.008181480104127928,2.5009373828271464,3.0
术后第三天,POD3,术后第三天_活动状态,2518,171,0.06359241353663071,2.2986497220015885,3.0
