param_model__alpha,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
100.0,-0.5275910783263423,0.029374489432733228,1,-0.5043918416875166,0.019286324159737783
30.0,-0.5285631992076437,0.026989843248965292,2,-0.49742301623447266,0.01918345986164572
10.0,-0.5320364130688312,0.02641100711847381,3,-0.4952709987324535,0.019015674492824326
3.0,-0.5342964988165372,0.026773255350801224,4,-0.4945379379581526,0.018951924357815935
1.0,-0.5351720629834515,0.027080617948579237,5,-0.4943337789612822,0.018962895416307673
0.1,-0.5356907613653419,0.027351477627271692,6,-0.49421769624854817,0.018988595601696807
