Score,count,ratio
0,587,0.05570316948187512
1,2596,0.24634655532359082
2,3876,0.36781172898083125
3,2636,0.2501423420003796
4,529,0.05019927880053141
5,245,0.023249193395331182
6,53,0.005029417346745113
7,10,0.0009489466691971911
8,2,0.0001897893338394382
9,1,9.48946669197191e-05
10,2,0.0001897893338394382
21,1,9.48946669197191e-05
