tag,n_targets,mean_f1,mean_auc,mean_accuracy,pain_mean_f1,pain_mean_auc,pain_mean_recall,pain_mean_precision,pain_mean_fpr
os_2.0_lw_1.5,20,0.26361824955707214,0.7226709033441896,0.8761432956901569,0.12622400159118585,0.6309398022322783,0.2707458638886266,0.0848738876762714,0.16371186739112242
os_2.0_lw_2.0,20,0.2568907431223817,0.7219333949247149,0.9029588219515992,0.10940523550445996,0.6290960311835914,0.13498004070542072,0.1274711630370198,0.07524019898933534
os_2.5_lw_1.5,20,0.26169418132722083,0.7201956943558346,0.8822137249121751,0.12141383101655782,0.6247517797613906,0.23273737397580752,0.09216463725591512,0.14046454833927305
os_2.5_lw_2.0,20,0.26431790795783716,0.7194966412373198,0.8776353340972705,0.1279731475930985,0.6230041469651041,0.2526467703186143,0.10121987459225901,0.15499294636551686
