bin_left,bin_right,count,ratio
10.0,12.966666666666667,4,0.0014875418371141688
12.966666666666667,15.933333333333334,3,0.0011156563778356265
15.933333333333334,18.9,18,0.00669393826701376
18.9,21.866666666666667,32,0.01190033469691335
21.866666666666667,24.833333333333336,59,0.02194124209743399
24.833333333333336,27.8,90,0.0334696913350688
27.8,30.766666666666666,138,0.051320193380438826
30.766666666666666,33.733333333333334,160,0.05950167348456675
33.733333333333334,36.7,156,0.05801413164745258
36.7,39.66666666666667,87,0.03235403495723317
39.66666666666667,42.63333333333333,86,0.03198214949795463
42.63333333333333,45.6,75,0.027891409445890667
45.6,48.56666666666667,78,0.02900706582372629
48.56666666666667,51.53333333333333,101,0.03756043138713276
51.53333333333333,54.5,151,0.056154704351059875
54.5,57.46666666666667,198,0.07363332093715136
57.46666666666667,60.43333333333334,204,0.0758646336928226
60.43333333333334,63.400000000000006,181,0.06731126812941614
63.400000000000006,66.36666666666667,119,0.04425436965414652
66.36666666666667,69.33333333333334,192,0.0714020081814801
69.33333333333334,72.30000000000001,177,0.06582372629230197
72.30000000000001,75.26666666666667,118,0.04388248419486798
75.26666666666667,78.23333333333333,87,0.03235403495723317
78.23333333333333,81.2,64,0.0238006693938267
81.2,84.16666666666667,50,0.01859427296392711
84.16666666666667,87.13333333333334,29,0.010784678319077723
87.13333333333334,90.10000000000001,18,0.00669393826701376
90.10000000000001,93.06666666666666,5,0.001859427296392711
93.06666666666666,96.03333333333333,7,0.0026031982149497955
96.03333333333333,99.0,2,0.0007437709185570844
