bin_left,bin_right,count,ratio
0.0,0.7,118,0.04388248419486798
0.7,1.4,727,0.27036072889550017
1.4,2.0999999999999996,1200,0.4462625511342507
2.0999999999999996,2.8,0,0.0
2.8,3.5,543,0.20193380438824843
3.5,4.199999999999999,76,0.028263294905169208
4.199999999999999,4.8999999999999995,0,0.0
4.8999999999999995,5.6,22,0.008181480104127928
5.6,6.3,1,0.0003718854592785422
6.3,7.0,0,0.0
7.0,7.699999999999999,1,0.0003718854592785422
7.699999999999999,8.399999999999999,0,0.0
8.399999999999999,9.1,0,0.0
9.1,9.799999999999999,0,0.0
9.799999999999999,10.5,0,0.0
10.5,11.2,0,0.0
11.2,11.899999999999999,0,0.0
11.899999999999999,12.6,0,0.0
12.6,13.299999999999999,0,0.0
13.299999999999999,14.0,0,0.0
14.0,14.7,0,0.0
14.7,15.399999999999999,0,0.0
15.399999999999999,16.099999999999998,0,0.0
16.099999999999998,16.799999999999997,0,0.0
16.799999999999997,17.5,0,0.0
17.5,18.2,0,0.0
18.2,18.9,0,0.0
18.9,19.599999999999998,0,0.0
19.599999999999998,20.299999999999997,0,0.0
20.299999999999997,21.0,1,0.0003718854592785422
