bin_left,bin_right,count,ratio
24.0,28.7,1,0.0003718854592785422
28.7,33.4,1,0.0003718854592785422
33.4,38.1,4,0.0014875418371141688
38.1,42.8,18,0.00669393826701376
42.8,47.5,69,0.025660096690219413
47.5,52.2,187,0.0695425808850874
52.2,56.9,278,0.10338415767943473
56.9,61.6,420,0.15619189289698773
61.6,66.30000000000001,524,0.19486798066195612
66.30000000000001,71.0,385,0.14317590182223874
71.0,75.7,313,0.11640014875418371
75.7,80.4,224,0.08330234287839346
80.4,85.1,117,0.04351059873558944
85.1,89.8,39,0.014503532911863145
89.8,94.5,46,0.017106731126812942
94.5,99.2,26,0.009669021941242098
99.2,103.9,17,0.006322052807735217
103.9,108.60000000000001,8,0.0029750836742283376
108.60000000000001,113.3,3,0.0011156563778356265
113.3,118.0,2,0.0007437709185570844
118.0,122.7,2,0.0007437709185570844
122.7,127.4,3,0.0011156563778356265
127.4,132.10000000000002,0,0.0
132.10000000000002,136.8,0,0.0
136.8,141.5,1,0.0003718854592785422
141.5,146.2,0,0.0
146.2,150.9,0,0.0
150.9,155.6,0,0.0
155.6,160.3,0,0.0
160.3,165.0,1,0.0003718854592785422
