bin_left,bin_right,count,ratio
0.0,20.833333333333332,2141,0.7962067683153589
20.833333333333332,41.666666666666664,56,0.020825585719598364
41.666666666666664,62.5,219,0.08144291558200074
62.5,83.33333333333333,184,0.06842692450725177
83.33333333333333,104.16666666666666,51,0.01896615842320565
104.16666666666666,125.0,11,0.004090740052063964
125.0,145.83333333333331,5,0.001859427296392711
145.83333333333331,166.66666666666666,18,0.00669393826701376
166.66666666666666,187.5,1,0.0003718854592785422
187.5,208.33333333333331,0,0.0
208.33333333333331,229.16666666666666,0,0.0
229.16666666666666,250.0,0,0.0
250.0,270.8333333333333,0,0.0
270.8333333333333,291.66666666666663,0,0.0
291.66666666666663,312.5,0,0.0
312.5,333.3333333333333,0,0.0
333.3333333333333,354.16666666666663,0,0.0
354.16666666666663,375.0,0,0.0
375.0,395.8333333333333,0,0.0
395.8333333333333,416.66666666666663,0,0.0
416.66666666666663,437.5,0,0.0
437.5,458.3333333333333,0,0.0
458.3333333333333,479.16666666666663,0,0.0
479.16666666666663,500.0,0,0.0
500.0,520.8333333333333,0,0.0
520.8333333333333,541.6666666666666,0,0.0
541.6666666666666,562.5,0,0.0
562.5,583.3333333333333,0,0.0
583.3333333333333,604.1666666666666,0,0.0
604.1666666666666,625.0,3,0.0011156563778356265
