config,day,high_pain_oversample_factor,high_pain_loss_weight,n_targets,pain_targets,mean_f1,mean_auc,mean_accuracy,mean_recall,mean_precision,pain_mean_f1,pain_mean_auc,pain_mean_accuracy,output_dir
os_3.0_lw_10.0,术后第二天,3.0,10.0,5,2,0.21686194557709912,0.6663258921906486,0.8740216849013779,0.34159420289855075,0.22621250350434535,0.033060109289617445,0.6111970616522402,0.8358348968105065,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/day23_param_compare/os_3.0_lw_10.0/day2
os_3.0_lw_10.0,术后第三天,3.0,10.0,5,2,0.1651860744297719,0.7460533030150082,0.9011810091829972,0.20793060718711276,0.17740024681201153,0.0252100840336134,0.6082300046371902,0.8740079365079365,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/day23_param_compare/os_3.0_lw_10.0/day3
os_2.5_lw_2.0,术后第二天,2.5,2.0,5,2,0.22469053344019949,0.6571244491796344,0.9111699025374005,0.27159420289855074,0.2321718931475029,0.0526315789473684,0.5881934541247047,0.9287054409005628,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/day23_param_compare/os_2.5_lw_2.0/day2
os_2.5_lw_2.0,术后第三天,2.5,2.0,5,2,0.16302283289553446,0.7496479991446344,0.9103079933099814,0.18570838496489056,0.1762935274444226,0.0198019801980198,0.617216744961256,0.8968253968253969,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/day23_param_compare/os_2.5_lw_2.0/day3
