config,day,high_pain_oversample_factor,high_pain_loss_weight,mean_f1,mean_auc,mean_accuracy,mean_recall,mean_precision,pain_mean_f1,pain_mean_auc,pain_mean_accuracy
os_3.0_lw_10.0,第2/3天合并(平均),3.0,10.0,0.1910240100034355,0.7061895976028284,0.8876013470421875,0.2747624050428318,0.20180637515817845,0.02913509666161542,0.6097135331447152,0.8549214166592215
os_2.5_lw_2.0,第2/3天合并(平均),2.5,2.0,0.19385668316786697,0.7033862241621345,0.9107389479236909,0.22865129393172065,0.20423271029596274,0.0362167795726941,0.6027050995429803,0.9127654188629799
