bin_left,bin_right,count,ratio
0.0,0.2,418,0.15544812197843064
0.2,0.4,0,0.0
0.4,0.6000000000000001,0,0.0
0.6000000000000001,0.8,0,0.0
0.8,1.0,0,0.0
1.0,1.2000000000000002,527,0.19598363703979174
1.2000000000000002,1.4000000000000001,0,0.0
1.4000000000000001,1.6,0,0.0
1.6,1.8,0,0.0
1.8,2.0,0,0.0
2.0,2.2,511,0.19003346969133506
2.2,2.4000000000000004,0,0.0
2.4000000000000004,2.6,0,0.0
2.6,2.8000000000000003,0,0.0
2.8000000000000003,3.0,0,0.0
3.0,3.2,408,0.1517292673856452
3.2,3.4000000000000004,0,0.0
3.4000000000000004,3.6,0,0.0
3.6,3.8000000000000003,0,0.0
3.8000000000000003,4.0,0,0.0
4.0,4.2,575,0.21383413908516177
4.2,4.4,0,0.0
4.4,4.6000000000000005,0,0.0
4.6000000000000005,4.800000000000001,0,0.0
4.800000000000001,5.0,0,0.0
5.0,5.2,169,0.06284864261807363
5.2,5.4,0,0.0
5.4,5.6000000000000005,0,0.0
5.6000000000000005,5.800000000000001,0,0.0
5.800000000000001,6.0,81,0.030122722201561918
