bin_left,bin_right,count,ratio
0.0,0.23,1468,0.5459278542209
0.23,0.46,0,0.0
0.46,0.6900000000000001,0,0.0
0.6900000000000001,0.92,0,0.0
0.92,1.1500000000000001,955,0.3551506136110078
1.1500000000000001,1.3800000000000001,0,0.0
1.3800000000000001,1.61,0,0.0
1.61,1.84,0,0.0
1.84,2.0700000000000003,228,0.08478988471550762
2.0700000000000003,2.3000000000000003,0,0.0
2.3000000000000003,2.5300000000000002,0,0.0
2.5300000000000002,2.7600000000000002,0,0.0
2.7600000000000002,2.99,0,0.0
2.99,3.22,25,0.009297136481963555
3.22,3.45,0,0.0
3.45,3.68,0,0.0
3.68,3.91,0,0.0
3.91,4.140000000000001,10,0.003718854592785422
4.140000000000001,4.37,0,0.0
4.37,4.6000000000000005,0,0.0
4.6000000000000005,4.83,0,0.0
4.83,5.0600000000000005,2,0.0007437709185570844
5.0600000000000005,5.29,0,0.0
5.29,5.5200000000000005,0,0.0
5.5200000000000005,5.75,0,0.0
5.75,5.98,0,0.0
5.98,6.21,0,0.0
6.21,6.44,0,0.0
6.44,6.67,0,0.0
6.67,6.9,1,0.0003718854592785422
